Año,Trimestre,Banda ancha fija,Dial up,Total,Id_Provincia,Año-Trimestre
2023,3,61314,0,61314,9,20233
2023,3,117377,0,117377,10,20233
2023,3,119759,162,119921,11,20233
2023,3,87697,4,87701,12,20233
2023,3,297292,730,298022,13,20233
2023,3,197135,0,197135,14,20233
2023,3,163834,439,164273,15,20233
2023,3,162970,515,163485,16,20233
2023,3,206228,5,206233,17,20233
2023,3,103483,247,103730,18,20233
2023,3,148751,165,148916,19,20233
2023,3,47800,187,47987,20,20233
2023,3,900246,106,900352,21,20233
2023,3,121926,2,121928,22,20233
2023,3,58426,305,58731,23,20233
2023,3,266530,27,266557,24,20233
2023,2,4879442,6046,4885488,2,20232
2023,2,1455578,2100,1457678,1,20232
2023,2,72989,1,72990,3,20232
2023,2,141850,5,141855,4,20232
2023,2,163078,883,163961,5,20232
2023,2,1067686,65,1067751,6,20232
2023,2,158290,4,158294,7,20232
2023,2,273927,20,273947,8,20232
2023,2,60350,0,60350,9,20232
2023,2,117442,0,117442,10,20232
2023,2,118744,166,118910,11,20232
2023,2,86968,4,86972,12,20232
2023,2,296921,755,297676,13,20232
2023,2,195471,0,195471,14,20232
2023,2,161289,457,161746,15,20232
2023,2,162848,531,163379,16,20232
2023,2,205323,5,205328,17,20232
2023,2,97189,260,97449,18,20232
2023,2,140575,173,140748,19,20232
2023,2,48410,192,48602,20,20232
2023,2,895706,108,895814,21,20232
2023,2,117807,2,117809,22,20232
2023,2,58325,310,58635,23,20232
2023,2,263573,29,263602,24,20232
2023,1,4814729,6199,4820928,2,20231
2023,1,1546584,2145,1548729,1,20231
2023,1,71491,1,71492,3,20231
2023,1,142437,5,142442,4,20231
2023,1,169149,904,170053,5,20231
2023,1,1049904,68,1049972,6,20231
2023,1,157016,4,157020,7,20231
2023,1,274856,22,274878,8,20231
2023,1,60985,0,60985,9,20231
2023,1,117981,0,117981,10,20231
2023,1,116333,171,116504,11,20231
2023,1,86401,4,86405,12,20231
2023,1,292242,777,293019,13,20231
2023,1,190685,0,190685,14,20231
2023,1,159944,468,160412,15,20231
2023,1,163783,548,164331,16,20231
2023,1,205421,5,205426,17,20231
2023,1,101486,281,101767,18,20231
2023,1,135281,182,135463,19,20231
2023,1,50163,198,50361,20,20231
2023,1,886164,110,886274,21,20231
2023,1,118553,2,118555,22,20231
2023,1,56801,312,57113,23,20231
2023,1,261070,30,261100,24,20231
2022,4,4788466,6199,4794665,2,20224
2022,4,1549781,2145,1551926,1,20224
2022,4,70908,1,70909,3,20224
2022,4,143658,5,143663,4,20224
2022,4,167855,904,168759,5,20224
